transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
180,05/11/2022,10:47:00,117.00,Male,41,Clothing,3,300,129.00,900.00
522,09/07/2022,11:00:00,52.00,Male,46,Beauty,3,500,145.00,1500.00
559,12/12/2022,10:48:00,5.00,Female,40,Clothing,4,300,84.00,1200.00
1180,06/01/2022,08:53:00,85.00,Male,41,Clothing,3,300,129.00,900.00
1522,14/11/2022,08:35:00,48.00,Male,46,Beauty,3,500,235.00,1500.00
1559,20/08/2022,07:40:00,49.00,Female,40,Clothing,4,300,144.00,1200.00
163,31/10/2022,09:38:00,144.00,Female,64,Clothing,3,50,23.00,150.00
303,22/04/2022,11:09:00,54.00,Male,19,Electronics,3,30,14.70,90.00
421,08/04/2022,08:43:00,66.00,Female,37,Clothing,3,500,235.00,1500.00
979,18/05/2022,10:18:00,6.00,Female,19,Beauty,1,25,10.50,25.00
1163,04/05/2022,10:52:00,120.00,Female,64,Clothing,3,50,27.00,150.00
1303,19/03/2022,08:59:00,58.00,Male,19,Electronics,3,30,15.00,90.00
1421,17/01/2022,07:07:00,59.00,Female,37,Clothing,3,500,185.00,1500.00
1979,17/08/2022,11:34:00,102.00,Female,19,Beauty,1,25,7.75,25.00
610,18/12/2022,06:56:00,137.00,Female,26,Beauty,2,300,93.00,600.00
1610,23/11/2022,10:18:00,1.00,Female,26,Beauty,2,300,102.00,600.00
32,16/07/2022,09:11:00,150.00,Male,30,Beauty,3,30,8.40,90.00
231,09/07/2022,07:02:00,50.00,Female,23,Clothing,3,50,26.50,150.00
683,06/03/2022,10:22:00,82.00,Male,38,Beauty,2,500,175.00,1000.00
1032,01/04/2022,08:15:00,1.00,Male,30,Beauty,3,30,10.50,90.00
1231,29/01/2022,07:05:00,12.00,Female,23,Clothing,3,50,23.00,150.00
1683,04/05/2022,07:19:00,98.00,Male,38,Beauty,2,500,220.00,1000.00
367,30/12/2022,07:03:00,123.00,Female,57,Electronics,1,50,18.00,50.00
391,25/03/2022,07:37:00,68.00,Male,19,Beauty,2,25,6.25,50.00
432,10/03/2022,11:31:00,17.00,Female,,Electronics,2,500,190.00,1000.00
1367,15/04/2022,11:38:00,16.00,Female,,Electronics,1,50,15.50,50.00
1391,01/03/2022,11:29:00,130.00,Male,,Beauty,2,25,9.25,50.00
1432,25/12/2022,06:24:00,67.00,Female,,Electronics,2,500,245.00,1000.00
150,13/04/2022,08:25:00,89.00,Female,,Electronics,4,30,16.20,120.00
845,27/10/2022,10:12:00,25.00,Male,,Clothing,1,500,145.00,500.00
1150,22/08/2022,10:04:00,77.00,Female,,Electronics,4,30,10.20,120.00
1845,24/05/2022,07:06:00,94.00,Male,,Clothing,1,500,185.00,500.00
797,16/09/2022,06:38:00,116.00,Male,,Clothing,3,25,10.75,75.00
921,28/09/2022,09:34:00,101.00,Male,,Electronics,3,25,8.00,75.00
1797,16/04/2022,11:47:00,147.00,Male,40,Clothing,3,25,12.25,75.00
1921,08/02/2022,07:01:00,77.00,Male,51,Electronics,3,25,7.50,75.00
291,22/11/2022,08:29:00,15.00,Male,60,Clothing,2,300,126.00,600.00
907,02/09/2022,06:16:00,145.00,Female,45,Electronics,1,25,8.50,25.00
1291,04/04/2022,11:19:00,72.00,Male,60,Clothing,2,300,153.00,600.00
1907,17/11/2022,11:21:00,115.00,Female,45,Electronics,1,25,9.00,25.00
